GPS Cluster,Lion ID,Lion sex,State (kill (1) or non-kill (0)),Prey species,Average wind speed precedding GPS cluster,Moon present (1) or absent (0),Viewshed 50m,Viewshed 50 to 100m,Viewshed 100 to 300m,Viewshed 300m,Distance to downwind cover,Minimum distance to cover
AAR10,Aardlam,Female,1,Kudu,2.327272727,1,272,124,29,425,2.55,2.55
AAR105,Aardlam,Female,1,Unknown,4.622222222,0,169,3,0,172,2.92,2.92
AAR107,Aardlam,Female,0,,0.845454545,1,169,54,14474,14697,2.55,2.55
AAR109,Aardlam,Female,1,Hartebeest,2.733333333,1,1550,78,1265,2893,11.51,9.82
AAR115,Aardlam,Female,1,Warthog,3.055555556,0,460,0,0,460,4.3,2.12
AAR118,Aardlam,Female,0,,2.822222222,1,1800,1325,5623,8748,12.35,6.96
AAR12,Aardlam,Female,0,,0.509090909,1,7860,23568,232438,263866,113.58,113.58
AAR121,Aardlam,Female,1,Warthog,1.233333333,0,42,0,0,42,2.55,2.55
AAR126,Aardlam,Female,1,Warthog,1.011111111,0,1092,3073,12614,16779,7.38,5.15
AAR127,Aardlam,Female,0,,1.672727273,0,7651,20006,83174,110831,82.05,37.58
AAR128,Aardlam,Female,0,,0.855555556,0,7847,22806,163967,194620,43.98,43.98
AAR130,Aardlam,Female,1,Warthog,3.455555556,1,3232,5323,23141,31696,19.81,12.35
AAR131,Aardlam,Female,1,kudu,2.944444444,1,8,180,8257,8445,2.12,2.12
AAR134,Aardlam,Female,0,,4.222222222,0,3553,9448,76508,89509,9.62,9.62
AAR135,Aardlam,Female,0,,1.654545455,1,518,133,2911,3562,4.3,4.3
AAR136,Aardlam,Female,1,Hartebeest,0.4,0,568,99,0,667,3.81,3.81
AAR137,Aardlam,Female,0,,2.433333333,1,2281,552,1129,3962,11.6,11.6
AAR138,Aardlam,Female,0,,1.688888889,0,1439,346,197,1982,7.11,4.53
AAR139,Aardlam,Female,1,Ostrich,3.233333333,0,4,0,0,4,3.54,3.54
AAR141,Aardlam,Female,1,Ostrich,1.427272727,0,5,0,1317,1322,2.55,2.12
AAR142,Aardlam,Female,1,Zebra,3.155555556,0,7860,23554,152553,183967,85.35,85.35
AAR143,Aardlam,Female,0,,4.922222222,0,5663,11449,43023,60135,9.92,9.92
AAR145,Aardlam,Female,1,Hartebeest,5.133333333,1,6904,12629,35891,55424,43.34,29.44
AAR147,Aardlam,Female,0,,4.311111111,0,4466,3102,12393,19961,14.23,14.23
AAR150,Aardlam,Female,1,Warthog,3.6,1,40,5,3,48,3.81,3.81
AAR151,Aardlam,Female,0,,6.4,1,7186,12584,38126,57896,57.12,57.12
AAR152,Aardlam,Female,0,,4.411111111,1,4655,2837,13774,21266,12.9,12.9
AAR154,Aardlam,Female,1,Warthog,4.977777778,1,0,17,41,58,2.55,2.55
AAR155,Aardlam,Female,0,,1.136363636,1,340,0,0,340,5.7,5.7
AAR156,Aardlam,Female,0,,1.845454545,1,3797,2152,5254,11203,22.46,12.75
AAR157,Aardlam,Female,1,Ostrich,2.272727273,1,3914,2242,175,6331,8.51,5.52
AAR159,Aardlam,Female,1,Warthog,3.588888889,1,4728,5192,4908,14828,45.04,7.11
AAR160,Aardlam,Female,0,,0.245454545,0,6227,8675,55596,70498,11.85,11.85
AAR161,Aardlam,Female,1,Unknown,0.718181818,0,446,45,4,495,3.54,3.54
AAR162,Aardlam,Female,0,,4.245454545,1,0,0,0,0,6.36,6.36
AAR164,Aardlam,Female,0,,4.211111111,0,7354,16481,63167,87002,24.55,24.55
AAR165,Aardlam,Female,0,,1.845454545,0,1080,460,1998,3538,7.65,7.65
AAR166,Aardlam,Female,0,,2.018181818,0,3304,1552,1386,6242,25.54,12.75
AAR169,Aardlam,Female,0,,1.372727273,1,352,0,9855,10207,7.52,6.04
AAR172,Aardlam,Female,1,Warthog,0.918181818,1,669,18,0,687,2.55,2.55
AAR173,Aardlam,Female,1,Kudu,4.422222222,1,7857,23377,201430,232664,60.05,60.05
AAR177,Aardlam,Female,1,Kudu,1.990909091,0,160,0,0,160,3.81,2.55
AAR178,Aardlam,Female,0,,4.277777778,1,7426,15417,65415,88258,46.48,46.48
AAR179,Aardlam,Female,0,,1.854545455,1,369,0,0,369,5.15,5.15
AAR18,Aardlam,Female,0,,1.981818182,0,146,0,9,155,2.92,2.55
AAR180,Aardlam,Female,1,Kudu,3.833333333,0,5426,9883,97111,112420,50.82,6.67
AAR181,Aardlam,Female,1,Ostrich,1.3,0,2,0,0,2,4.53,2.12
AAR182,Aardlam,Female,1,Unknown,0.618181818,0,4806,4856,4261,13923,14.58,14.58
AAR183,Aardlam,Female,1,Kudu,3.277777778,0,64,0,0,64,3.54,2.55
AAR184,Aardlam,Female,1,Kudu,3.388888889,0,47,0,26,73,6.52,4.3
AAR185,Aardlam,Female,1,Warthog,2.488888889,0,459,229,13979,14667,6.04,3.54
AAR19,Aardlam,Female,0,,0.7,0,483,88,0,571,3.54,3.54
AAR192,Aardlam,Female,0,,1.836363636,1,58,0,598,656,3.54,2.92
AAR195,Aardlam,Female,1,Hartebeest,1.736363636,0,50,148,1049,1247,4.53,4.53
AAR196,Aardlam,Female,1,Kudu,6.977777778,1,119,0,4,123,6.36,6.36
AAR199,Aardlam,Female,0,,1.411111111,0,7344,20306,123318,150968,20.55,16.51
AAR2,Aardlam,Female,1,Kudu,2.188888889,0,62,1443,3391,4896,3.54,2.92
AAR200,Aardlam,Female,1,Kudu,3.977777778,0,637,153,4695,5485,5.7,4.74
AAR202,Aardlam,Female,1,Unknown,0.909090909,0,7794,18286,30412,56492,99.7,42.99
AAR203,Aardlam,Female,1,Zebra,1.5,0,1498,4110,43463,49071,5.7,5.7
AAR205,Aardlam,Female,0,,1.409090909,1,151,0,0,151,2.55,2.55
AAR207,Aardlam,Female,0,,1.7,0,3202,6007,66317,75526,9.92,5.7
AAR209,Aardlam,Female,1,Warthog,4.377777778,1,1028,293,18410,19731,11.85,3.54
AAR210,Aardlam,Female,0,,1.954545455,1,0,0,0,0,2.12,2.12
AAR211,Aardlam,Female,1,Hartebeest,4.333333333,0,159,0,1253,1412,3.81,3.81
AAR215,Aardlam,Female,1,Kudu,3.488888889,0,331,299,9677,10307,2.92,2.92
AAR216,Aardlam,Female,1,Hartebeest,0.863636364,1,243,0,0,243,2.92,2.92
AAR218,Aardlam,Female,1,Kudu,5.277777778,0,23,54,3130,3207,2.92,2.92
AAR23,Aardlam,Female,1,Kudu,4.066666667,0,118,2,0,120,2.92,1.58
AAR3,Aardlam,Female,1,Kudu,1.236363636,0,1458,960,5716,8134,2.12,2.12
AAR39,Aardlam,Female,1,Hartebeest,1.836363636,0,7371,17975,29118,54464,41.72,41.72
AAR41,Aardlam,Female,0,,2.522222222,1,104,0,0,104,3.81,2.12
AAR42,Aardlam,Female,1,Kudu,4.1,0,41,2,0,43,3.54,3.54
AAR43,Aardlam,Female,1,Buffalo,3.322222222,0,49,32,0,81,4.3,2.55
AAR44,Aardlam,Female,0,,3.677777778,0,5206,7331,14664,27201,13.95,13.95
AAR45,Aardlam,Female,0,,1.845454545,0,4173,10695,85919,100787,7.52,6.52
AAR46,Aardlam,Female,1,Kudu,2.388888889,1,1331,1702,3194,6227,11.51,2.55
AAR47,Aardlam,Female,1,Buffalo,0.522222222,1,60,0,0,60,2.92,2.92
AAR48,Aardlam,Female,1,Kudu,2.877777778,1,155,0,5,160,3.81,3.81
AAR49,Aardlam,Female,1,Kudu,2.281818182,1,835,142,22,999,4.74,4.74
AAR51,Aardlam,Female,0,,1.981818182,0,484,410,6343,7237,9.92,4.74
AAR52,Aardlam,Female,0,,0.988888889,1,7380,14628,88430,110438,15.57,15.57
AAR53,Aardlam,Female,1,Warthog,0.411111111,1,1294,92,9733,11119,3.54,3.54
AAR54,Aardlam,Female,0,,1.445454545,0,5952,7161,4525,17638,19.51,19.51
AAR55,Aardlam,Female,0,,0.3,1,4268,3201,4876,12345,8.86,8.86
AAR56,Aardlam,Female,0,,1.209090909,0,7097,14535,52853,74485,44.95,29.61
AAR58,Aardlam,Female,0,,5.477777778,0,6270,8208,70671,85149,42.81,42.81
AAR59,Aardlam,Female,0,,3.466666667,0,5403,9776,73500,88679,18.56,18.56
AAR60,Aardlam,Female,1,Hartebeest,1.172727273,1,7430,11311,80970,99711,38.19,34.94
AAR61,Aardlam,Female,0,,3.944444444,0,6490,6610,9845,22945,31.09,31.09
AAR62,Aardlam,Female,1,Hartebeest,1.654545455,0,1395,2009,453,3857,3.54,2.55
AAR63,Aardlam,Female,0,,1.290909091,1,5839,4971,7006,17816,6.52,6.52
AAR64,Aardlam,Female,1,Warthog,0.511111111,1,5758,12855,94774,113387,15.51,15.51
AAR65,Aardlam,Female,0,,1.044444444,1,6980,18803,89061,114844,14.09,14.09
AAR66,Aardlam,Female,1,Ostrich,2.4,1,157,0,0,157,2.92,2.92
AAR67,Aardlam,Female,1,Eland,1.990909091,1,1370,1513,21679,24562,3.54,2.92
AAR7,Aardlam,Female,0,,1.063636364,0,101,0,0,101,2.55,2.55
AAR71,Aardlam,Female,1,Warthog,2.222222222,0,83,173,19855,20111,4.3,4.3
AAR73,Aardlam,Female,0,,2.522222222,1,3534,1629,15,5178,12.51,12.51
AAR75,Aardlam,Female,0,,3.122222222,1,5566,12157,45920,63643,12.75,12.75
